title,thumbnail,artist,album,length
III. Sehr langsam(피처링: Rita Costanzi),https://lh3.googleusercontent.com/4-n3VtVyjMGfMQNrOXQ5Xe96yZ9doBoKfOe5oMXJqp7hYjaquI3lNSUptSKkS52nTYPeeVioXCgOS27n=w120-h120-s-l90-rj,Rita Costanzi,Tournier: Harp Sonatine / Hindemith: Harp Sonata,4:11
Debussy: Deux Arabesques L. 66 - transr. for harp - No.2,https://lh3.googleusercontent.com/p3KwYG_hzXSbQABXqov5EPq-B02m1_H71W8iNHb9kkVPVpVmu8-DktylxLkbpQQxjQ_eaI9edL8YoKY=w120-h120-s-l90-rj,Osian Ellis,19th and 20th-Century Harp Music,3:25
Saint-Saëns: Le Cygne (The Swan),https://lh3.googleusercontent.com/YHS3UEMsK4-SVXynzSfxrFEtlcblW56jZ4wQwn9ZHH7rQkSnyMiUETiayy_xQTohkweWM6axWbD00qs=w120-h120-l90-rj,Mariko Anraku,Music For Harp,3:04
"Concerto for Harp, Guitar, Strings and Basso continuo in B flat major (orig. Concerto for Harp, Lute, Orchestra and Lyricord in B flat major): II. Larghetto",https://lh3.googleusercontent.com/cRpYLcjX1FvrRMnMZyp0yWRVxdoeRU-JB6NuGETfXA9bswylbZVqlyd07nFOTnHkfev19uRr01FZYYw=w120-h120-l90-rj,Lubomír Brabec,Guitar Concerto Collection,6:21
Gymnopédie No. 1,https://lh3.googleusercontent.com/361Dt9_kKvUfeNhEn77B8qsdVMU-FJdCdxxQ36ATxCwE9yX5A8tfsaI-D-hc4SyKyX3fykTNN9GWEbJA=w120-h120-l90-rj,Heavenly Harps,Pure Harp Moods,5:27
2. Adagio,https://lh3.googleusercontent.com/woa_n_L_c9RWd7bVVRKCzNHTmH1EstOcK82cS7J4FB8hmYF0rOEExm-lwd0sEhrOpnSMmsbdo83lkrw=w120-h120-s-l90-rj,"Nicanor Zabaleta, Berliner Philharmoniker 및 Ernst Märzendorfer",Mozart: Flute & Harp Concerto / Reinecke: Harp Concerto / Rodrigo: Concerto-Serenade,5:21
"Concerto for Flute and Harp in C Major, K. 299: II. Andantino",https://lh3.googleusercontent.com/2t7OJbThVdTl21YJ0ePEbykcnypB1FwGPjiUPcAWzuNjyVVCsn1P61TMuPNJINLVkYZVBX5lJfjSN4Z1mA=w120-h120-l90-rj,Jean-Pierre Rampal,"Mozart: Flute & Harp Concerto in C Major, Oboe Concerto in C Major & Rondo in D Major",9:26
"Ravel: Introduction and Allegro for Flute, Clarinet, Harp and String Quartet (2005 Digital Remaster)",https://lh3.googleusercontent.com/ZYbV4Dg3ezMNXQ49E1pHYV11oBxJdDhsx4MfHTzBUnKWk3f3zAdF2DW9X8Z0NORssDgwIZCVscq_hKBf=w120-h120-l90-rj,Nancy Allen,Ravel and Debussy,11:07
"Beethoven: 6 Variations on a Swiss Song in F Major, WoO 64",https://lh3.googleusercontent.com/OPBM0GCzQHrjOqOwkn0EbA8UXkxn9ZOWQ5o5VyIkDUHa7E7Abo6HpyvR7Tu3F5qj-ffuhMAofG6-zYvV=w120-h120-s-l90-rj,마리사 로블레스,The World of The Harp,5:19
ドビュッシー: 夢想（ハープとヴァイオリン）［ナクソス・クラシック・キュレーション #おしゃれ］,https://i.ytimg.com/vi/6uuB3QfDsE0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mGLd_viny1qzYZWLtXVHFAeoadmw,ellen bødtker,,3:52
"Lucia di Lammermoor, Act I Scene 2 (arr. for harp)",https://lh3.googleusercontent.com/OYZFduU9fzjxvz3MN645FTnS6_01ipigLFYGatYLxShjRCCOfWLOz_v4-UEJWOFAEawhH0eSMdWeeJfbDg=w120-h120-s-l90-rj,Elizabeth Hainen,Classical Chillout - The Essential Collection,4:28
Fantasia on Greensleeves,https://lh3.googleusercontent.com/MC-R236FOpp95t_umxjshCgRkP7BpGcaPrrfRml0sHgIqTLRGXZDBZ09K9H8Y4XwGsoPJtXHgg114zPH=w120-h120-l90-rj,유진 오르만디,Dinner Classics: Romance,4:56
"Concerto for Flute and Harp in C Major, K. 299: II. Andantino",https://i.ytimg.com/vi/6ilYAuVK_ec/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lJgXdFY8h1ID9tFNQXDQ6S889ojA,"Philippe Bernold, Emmanuel Ceysson and Orchestre de chambre de Paris",,7:36
"Sonata in G Major, Wq. 139: II. Adagio un poco",https://lh3.googleusercontent.com/VIMn9cQKkZlJFhfT9HMzhq4EXBeCcckmMsnsdR86vxSZDiiY_qXRpWVELEUmkEkQrmTM1TDJo27isI4EZA=w120-h120-l90-rj,Gabriella Dall'Olio,Harp Recital,5:22
"Two French Folk Songs, Le Bon Petit Roi d'Yvetot, Et Ron, Ron, Ron Petit Patapon",https://lh3.googleusercontent.com/Ynp75FrdJjiGC2MGgYJTJvhMKZDXl7RGadOhcP4D3s28_BOB_I9T56CmC0JzS2lPLmXFl6ld2JBov0HB=w120-h120-l90-rj,Marcel Grandjany,Pour La Harpe,4:07
II. Larghetto(피처링: 맥신 에이랜더),https://lh3.googleusercontent.com/yA8Le1JXjv8w5BFnVdUL1uNCuT1BBCrKGEM4352q4S1Hz9L_Lk0pNUcftDMzneAzh2S9KVMxRrKQWx-a=w120-h120-s-l90-rj,맥신 에이랜더,"Handel, G.F.: Harp Concerto, Hwv 294 / Organ Concerto No. 5 (Arr. for Harp) (Eliander)",3:29
Debussy: Prelude from Suite bergamasque. Prelude (2005 Digital Remaster),https://lh3.googleusercontent.com/ZYbV4Dg3ezMNXQ49E1pHYV11oBxJdDhsx4MfHTzBUnKWk3f3zAdF2DW9X8Z0NORssDgwIZCVscq_hKBf=w120-h120-l90-rj,Nancy Allen,Ravel and Debussy,4:25
Chanson Dans La Nuit,https://lh3.googleusercontent.com/a_ezI_aj5QSiVTSdWvLWD5m_HMin-LWSCDPZpdYP9BeEqBmiuR7UkM3Invgp9zz3-VgC7FOzLtCSDMPw=w120-h120-l90-rj,Julia Thornton,Harpistry,3:32
"Vocalise-étude en forme de habanera, M. 51",https://lh3.googleusercontent.com/jywYMgh961fs71skuVFwNhlY6Ewzc4bS7BPWThTvWELtFsKZnjmSKfRnFBxWobXnHlqGyOxo_mRI6IH-=w120-h120-l90-rj,Jean-Pierre Rampal,Music for Flute & Harp,2:53
Dittersdorf: Harp Concerto in A major - 3. Rondeau: Allegretto,https://lh3.googleusercontent.com/ZISYi01dcZQ9hggA_cBqMT9QfkKr6-e-7mupOjSZloX_rKGAA903sVXM0thjOE6R0h4xKLQFZFzxSBG-=w120-h120-s-l90-rj,"Marisa Robles, 아카데미 오브 세인트 마틴 인 더 필즈 및 이오나 브라운",Harp Concertos,3:58
Rhapsodie,https://lh3.googleusercontent.com/mOat4fE9IWcXg5GKTLuQT3MbPYTu2nKRHnDfbYCtnjv1rzs8bJ_XyF1smPYEl3B2f_u8t1Tlcpk_dFo7cA=w120-h120-l90-rj,Roberta Alessandrini,Arpa in concerto,8:05
Evocaciones for Harp: No. 1 En algún lugar de Plaza Francia,https://lh3.googleusercontent.com/r19PqlaEs5LqtNV68L_l2mY7iPnP2LwoFZysrTQlgLtUPWNe2qzmll_IA2NWfnnHw6SBq5VeR5277Q4EZg=w120-h120-l90-rj,Floraleda Sacchi,Evocaciones: Floraleda Sacchi plays Claudia Montero,2:48
Floraleda Sacchi: Ave Maria,https://lh3.googleusercontent.com/HcMyA1RULamHuAS_CqAxg7teU8qDZXprnmb0_rgEQFwLDpe0qfW6kf0TLBAKHgQ0QbHo-HNfkQPhACMo=w120-h120-l90-rj,Giuseppe Mazzoleni,Musiche immortali classiche e moderne,2:17
I. Largo e sempre rubato e con fantasia(피처링: Various Artists),https://lh3.googleusercontent.com/6G3zYwfWk9QmvXjCWG44Syo7qo3JIE36pIgd38U4fviHlArbvF5ShDqyrfdzqm6ZC_1qIPE-6_aFkI-G=w120-h120-s-l90-rj,Various Artists 및 Kirten Ecke,"Theodorakis, M.: Raven / Adagio / Genzmer, H.: Harp Concerto / Fantasia for Harp",2:21
"Fantaisie for Violin and Harp, Op. 124",https://lh3.googleusercontent.com/U0FYayLf2OGDdK-0i-xh53FoXYHSYcci_RMe_LdATqkyx9wzfnSjZGyMgeuJdlUb1cmqehbj5Q4jyhMA=w120-h120-l90-rj,요세프 수크,"Spohr, Donizetti, Saint-Saëns, Rossini, Boieldieu: Compositions for Violin and Harp",13:28
Scarlatti K466: Sonata In F Minor,https://lh3.googleusercontent.com/etf73yDCYCnXXZBXYqKwIrHSYbDM1q-XAE4yFRWNFpM9im8zZry5mbA9jmthFgTM9o4JOerrGzzxKQs=w120-h120-l90-rj,Monica Turoni,Harp Recital,4:03
"Fantasie sur un thème de Haydn, Op. 31",https://lh3.googleusercontent.com/mOat4fE9IWcXg5GKTLuQT3MbPYTu2nKRHnDfbYCtnjv1rzs8bJ_XyF1smPYEl3B2f_u8t1Tlcpk_dFo7cA=w120-h120-l90-rj,Roberta Alessandrini,Arpa in concerto,7:52
Duo pour harpe & piano sur l'air au clair de la lune :,https://lh3.googleusercontent.com/4Y0b8aGJEtV752qeMspsza3HgfByKk2FHBDU3upNmZtx4b_jAou5BViVwSFA_IU-PETFwR6XIxh7IZj7=w120-h120-l90-rj,Marielle Nordman 및 Brigitte Haudebourg,Concert chez Madame de Récamier : Duos pour harpe et clavier,6:27
Caprice,https://lh3.googleusercontent.com/eeqAVudb7BDyCl2SY2P15g9rCoecCqqAxYnrrTLK4SueTcMbvlfBEYy2Q792xZc3ls2RbZYQTLuuHpq5=w120-h120-l90-rj,Nicanor Zabaleta,New Age Harp - Old Age Music (Digitally Remastered),3:01
Préludes: La fille aux cheveux de lin,https://lh3.googleusercontent.com/eVkpAL-dCpYdYgX2UCG-oJmlehik3_9vya142XQcqp14AUQMQOXLKcVNxBV2p2klw02jZkkr7CssDsvD=w120-h120-s-l90-rj,자비에르 드 마이스트리,Debussy,2:20
Debussy: Menuet from Suite bergamasque. Prelude (2005 Digital Remaster),https://lh3.googleusercontent.com/ZYbV4Dg3ezMNXQ49E1pHYV11oBxJdDhsx4MfHTzBUnKWk3f3zAdF2DW9X8Z0NORssDgwIZCVscq_hKBf=w120-h120-l90-rj,Nancy Allen,Ravel and Debussy,4:37
VI. Andante(피처링: Salzedo Harp Duo),https://lh3.googleusercontent.com/1rMtqCJt2KHPJlZ3kfn20Ul4T10IkxldgkLjifu5uBgZEh3JPQIIP0yTbtTGBG8a2dqODOpkxmKrSUQ=w120-h120-l90-rj,Salzedo Harp Duo,"Tournier, M.: 4 Preludes / Lecuona, E.: Malaguena / Andres, B.: Dyades / Thomas, J.: Cambria",1:07
Concerto for Harp In C Major: II. Andante lento,https://lh3.googleusercontent.com/IDVTBf8N_4aK_XkTr3TnIKHlenSwjuF53IogQqj5gp724O50LHIJA1JnE9EvaVHyDCB2HjNFTBrV-eE=w120-h120-l90-rj,Valérie Milot,Harp Concertos: Mozart - Handel - Boieldieu,3:57
"Fantasie in C minor, Op. 35(피처링: McDonald, Susan)",https://lh3.googleusercontent.com/mpBvoduV6HinqqULZ9BO315kchJtq-cMjmrZR3o6dkFBLFAfCvaQC8oiQqfsDplJuGLHYE3u6IPSsFc=w120-h120-s-l90-rj,"McDonald, Susan, 수잔 맥도날드",Krumpholtz / Schaposhnikov / Damase / Ibert / Glinka / Spohr: Sonatas for Flute and Harp,7:58
Fantaisie sur des motifs de l'opéra Faust de Charles Gounod,https://lh3.googleusercontent.com/FTg1ncqkdjQRcs6qs_ISRfWOeIiqMRSTUvAPrHHrf4gztHvQhG1RFhMeJrOUApTTaNYmaqpPjGKMrl3K4g=w120-h120-l90-rj,엠마누엘 세이송,Opéra fantaisies,11:25
"Adagio in F Major, Hob. XVII:9",https://lh3.googleusercontent.com/3XwHMZ_nj062fZPGdGPOGQs_H2ZTgP1OkxfMbHz7OGHmZllqfqKTIORqu7-trXG1QycYAJQHQntWlsI=w120-h120-s-l90-rj,Xavier de Maistre,Hommage à Haydn,4:47
"III. Gwyr Harlech (Men of Harlech)(피처링: Lipman, Sebastien)",https://lh3.googleusercontent.com/LFtL2F78pqQpvLlDrAH2kt4ERnEBLf96xI-MvJJvJELU01YD1gJeooyyCZUcV5w7qLRiuQFygaIMAX19PQ=w120-h120-s-l90-rj,"Lipman, Sebastien","Thomas, J.: Harp Music",3:21
Brahms: Lullaby,https://lh3.googleusercontent.com/MLFcoLKLyv3oqar3diunvpYI36HA_TTcI0UEC01X3vU1pMVrZWuPCk33O6X2j-q5NNXdiG8J-dX5iXE=w120-h120-s-l90-rj,Marisa Robles,The Christmas Spirit,2:34
"Variations Sur Un Theme Dans Le Style Ancien, Op.30",https://lh3.googleusercontent.com/LuIHb9YDX46EQJw38-8FiIEa3wjsBS52BUMNpwz0JNCKDiD6gvIlVVxBTZHEd0X_2BTnYL5Lit9KEwRReQ=w120-h120-l90-rj,Judy Loman,20th Century Masterworks For Harp,9:34
"La Source, Op. 23 (arr. for harp)",https://lh3.googleusercontent.com/4UPgwPeC3vdE2cizPGMwqCNSyMeLB450iAmyM4iMB6j1BETdtDhtOGxNgDrYZEkHx5stm1Be_eiU38Nk=w120-h120-l90-rj,Susann McDonald,"Harp Recital: Mcdonald, Susann - Salzedo, C. / Albeniz, M. / Albeniz, I. / Watkins, D. / Ortiz, A. / Francisque, A. (The World of the Harp)",3:30
Fantaisie sur Eugène Oneguine,https://lh3.googleusercontent.com/FTg1ncqkdjQRcs6qs_ISRfWOeIiqMRSTUvAPrHHrf4gztHvQhG1RFhMeJrOUApTTaNYmaqpPjGKMrl3K4g=w120-h120-l90-rj,엠마누엘 세이송,Opéra fantaisies,6:46
