title,thumbnail,artist,album,length
Stuck with U,https://i.ytimg.com/vi/pE49WK-oNjU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lP-Gg_CxFVFryRN7pEMVD5qZIyMw,Ariana Grande(아리아나 그란데) 및 Justin Bieber(저스틴 비버),,4:18
Break My Heart,https://i.ytimg.com/vi/Nj2U6rhnucI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mNIiyrCUmaV8Q-pUn8Q1D-gesRWQ,두아 리파,,3:50
THE SCOTTS (FORTNITE ASTRONOMICAL EVENT),https://i.ytimg.com/vi/8oaW16lGNxE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l5f0z8c8aTQcUJfFP_Z9huaZQUKw,Travis Scott 및 Kid Cudi,,2:48
Say So,https://i.ytimg.com/vi/pok8H_KF1FA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kXSceK4iK5-9T0BdV82mpiZLXN6g,도자캣,,3:56
Righteous,https://i.ytimg.com/vi/ZengOKCUBHo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nq912W-nTsRHYR9wDZdvEd3L0MfA,주스 월드,,3:49
Racks 2 Skinny,https://i.ytimg.com/vi/SsvuCSYBaY8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ldAK-WVPj-Udxq2QxnJNZCrAxX0Q,Migos(미고스),,3:50
I'm Ready,https://i.ytimg.com/vi/glD1M418bC0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lnzOb4YV7Qm9p1r_DwMjq1Trlhwg,Sam Smith(샘 스미스) 및 Demi Lovato(데미 로바토),,3:27
Physical (Official Video),https://i.ytimg.com/vi/9HDEHj2yzew/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m6GfWMzqL7MGi3bOHx-VRi8rO4Bg,두아 리파,,4:04
DaBaby – ROCKSTAR FT RODDY RICCH [Audio],https://i.ytimg.com/vi/83xBPCw5hh4/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nvoWXP1JT358koEZxW5SjRgMs6TA,DaBaby,,3:02
Level of Concern,https://i.ytimg.com/vi/loOWKm8GW6A/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3keEIQrEBYI_B_qA33xnySjjVXqJw,트웬티 원 파일럿츠,,3:53
